CODIGO,FOTO,DESCRIPCION DEL PRODUCTO,REFERENCIA,REFERENCIA 2,LOCALIZACION,CODIGO BARRA,CODIGO F.,ACTIVO,DEP 1,DEP 2,DEP 3,DEP 4,DEP 5,DEP 6,DEP 7,STOCK,a Retirar
251-6,N/D,ACC. DISPLAY EVO,,,,2516,2516,S,10,,,,,,,10,
37-6,N/D,ACC. DISPLAY SHOW BOARD X-SCOOTER,,,,1013,,S,10,,,,,,,10,
38-3,N/D,ACC. DISPLAY X-SCOOTER 8.5,,,,1153,,S,96,,,,,1,,97,
39-0,N/D,ACC. DSIPLAY BOARD ITB 18000IV,,,,1045,,S,2,,,,,,,2,
40-6,N/D,ACC. FAN (TURBINA) ITB 18000IV,,,,1046,,S,2,,,,,,,2,
41-3,N/D,ACC. FAN MOTOR OF INDOOR ITB 18000IV,,,,1047,,S,2,,,,,,,2,
42-0,N/D,ACC. FAN MOTOR OF INDOOR ITB 24000IV,,,,1048,,S,2,,,,,,,2,
43-7,N/D,"ACC. GUARDABARRO X-SCOOTER 8,5 PARALAMA INTERBRAS",,,,1117,,S,191,,,,,,,191,
44-4,N/D,ACC. IDU SENSOR ITB 18000IV,,,,1049,,S,2,,,,,,,2,
45-1,N/D,ACC. IDU SENSOR ITB 24000IV,,,,1050,,S,2,,,,,,,2,
46-8,N/D,ACC. INDER FAN ITB 12000,,,,1051,,S,6,,,,,,,6,
47-5,N/D,ACC. INDOOR CIRCUIT (PCB)18000IV,,,,1052,,S,2,,,,,,,2,
48-2,N/D,ACC. INDOOR CIRCUIT PANEL ITB 24000IV,,,,1053,,S,2,,,,,,,2,
49-9,N/D,ACC. INDOOR FAN (TURBINA) ITB12000IV,,,,1054,,S,3,,,,,,,3,
50-5,N/D,ACC. ITB 12000 AIRFLOW DIREXIONAL WING MOTOR,,,,1055,,S,6,,,,,,,6,
51-2,N/D,ACC. ITB 12000 COMPRESOR,,,,1056,,S,2,,,,,,,2,
52-9,N/D,ACC. ITB 12000 DISPLAY BOARD,,,,1057,,S,6,,,,,,,6,
53-6,N/D,ACC. ITB 12000 FAN MOTOR OF INDOR,,,,1058,,S,6,,,,,,,6,
54-3,N/D,ACC. ITB 12000 IDU SENSOR,,,,1059,,S,12,,,,,,,12,
55-0,N/D,ACC. ITB 12000 INDOR CIRCUIT PANEL (PCB) PLACA,,,,1060,,S,6,,,,,,,6,
56-7,N/D,ACC. ITB 12000 OF COMPRESOR,,,,1061,,S,2,,,,,,,2,
57-4,N/D,ACC. ITB 12000 OF-INDOOR CIRCUIT PANEL (PCB) PLACA,,,,1062,,S,6,,,,,,,6,
58-1,N/D,ACC. ITB 12000 PANEL,,,,1063,,S,6,,,,,,,6,
59-8,N/D,ACC. ITB 12000OF COMPRESOR CAPACITOR,,,,1064,,S,6,,,,,,,6,
60-4,N/D,ACC. ITB 12000OF DISPLAY BOARD,,,,1065,,S,6,,,,,,,6,
61-1,N/D,ACC. ITB 12000OF FAN MOTOR OF INDOOR,,,,1066,,S,6,,,,,,,6,
62-8,N/D,ACC. ITB 12000OF IDU SENSOR,,,,1067,,S,6,,,,,,,6,
63-5,N/D,ACC. ITB 12000OUTDOOR FAN,,,,1068,,S,3,,,,,,,3,
64-2,N/D,ACC. ITP 12000 AIRFLOW DIREXIONAL WING MOTOR,,,,1069,,S,3,,,,,,,3,
65-9,N/D,ACC. ITP 12000 DISPLAY BOARD,,,,1070,,S,3,,,,,,,3,
66-6,N/D,ACC. ITP 12000 IDU SENSOR,,,,1071,,S,3,,,,,,,3,
67-3,N/D,ACC. ITP 12000 OF AIRFLOW DIREXIONAL WIN MOTOR,,,,1072,,S,3,,,,,,,3,
68-0,N/D,ACC. ITP 12000 OF DISPLAY BOARD,,,,1073,,S,3,,,,,,,3,
69-7,N/D,ACC. ITP 12000 OF OUTDOOR FAN,,,,1074,,S,3,,,,,,,3,
70-3,N/D,ACC. ITP 12000 OUTDOOR FAN,,,,1075,,S,3,,,,,,,3,
